juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,10,105,PICE,GLA,,-1.5981420000,0.0003142000,-0.0783749000,-0.0129903000,-0.0002611000,-0.3055929000,1.0653100000,0.0000239000,-0.6183025000,403
AB,10,200,PINU,SPP,,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,10,203,PINU,BAN,,-1.7197890000,-0.0016430000,-0.0720663000,-1.8739030000,-0.0004804000,-0.0897304000,-1.5253050000,-0.0017311000,-0.2262610000,30
AB,10,204,PINU,CON,,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,10,204,PINU,CON,LAT,-1.7904270000,-0.0001550000,-0.0791712000,-1.9285080000,-0.0006526000,-0.0201212000,-1.9954440000,-0.0016757000,-0.0437632000,729
AB,10,213,PINU,FLE,,-1.6208940000,0.0000371000,-0.1091873000,-0.9625049000,0.0052800000,-0.4991704000,-1.1682890000,0.0028012000,-0.3771049000,46
AB,10,216,PINU,MUR,,-1.7635280000,-0.0001099000,-0.0867745000,-1.9543920000,-0.0006137000,-0.0184525000,-1.9882320000,-0.0015723000,-0.0518998000,759
AB,10,300,ABIE,SPP,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,10,302,ABIE,BAL,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,10,304,ABIE,LAS,,-1.1571170000,0.0007395000,-0.1735332000,0.5572737000,0.0005295000,-0.4051833000,-0.3311022000,-0.0000599000,-0.3127531000,38
AB,10,500,PSEU,MEN,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,10,500,PSEU,MEN,MEN,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,10,500,PSEU,MEN,GLA,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,10,500,PSEU,SPP,,-2.4038910000,-0.0006387000,0.1674664000,0.7055001000,0.0010978000,-0.4010315000,4.4256990000,0.0036288000,-1.2633560000,9
AB,10,600,LARI,SPP,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,10,602,LARI,LAR,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,10,604,LARI,LYA,,-1.1195290000,0.0032119000,-0.2502692000,-0.6020969000,-0.0010206000,-0.1819619000,-1.2469560000,-0.0019971000,-0.2304488000,26
AB,10,1150,UNKN,SPP,,-1.5305430000,0.0000356000,-0.1216116000,-1.5629320000,-0.0005977000,-0.0619225000,-1.3246360000,-0.0012649000,-0.1520637000,1113
AB,10,1200,POPU,SPP,,-1.1764680000,-0.0006155000,-0.0263404000,-3.0398930000,-0.0008428000,0.2310108000,-2.1669660000,0.0011159000,-0.2858151000,247
AB,10,1201,POPU,TRE,,-1.1764680000,-0.0006155000,-0.0263404000,-3.0398930000,-0.0008428000,0.2310108000,-2.1669660000,0.0011159000,-0.2858151000,247
AB,10,1203,POPU,BAL,,-2.3775020000,-0.0023789000,0.2561668000,-2.5906380000,-0.0017508000,0.2539392000,-0.4661650000,0.0033969000,-0.6796337000,36
