Iteration;Period;Output;Value;Type
"7";"17";OSUPPL;0.00000;Total
"7";"17";VOLINVENT;118383.02366;Total
"2";"18";OSUPREC;344.73216;Total
"2";"18";OVOLREC;36489.61638;Total
"2";"18";OSUPPL;0.00000;Total
"2";"18";VOLINVENT;116866.97604;Total
"7";"18";OSUPREC;344.73216;Total
"7";"18";OVOLREC;36489.61638;Total
"7";"18";OSUPPL;0.00000;Total
"7";"18";VOLINVENT;116866.97604;Total
"2";"19";OSUPREC;358.41795;Total
"2";"19";OVOLREC;36469.45384;Total
"2";"19";OSUPPL;0.00000;Total
"2";"19";VOLINVENT;115684.92042;Total
"7";"19";OSUPREC;358.41795;Total
"7";"19";OVOLREC;36469.45384;Total
"7";"19";OSUPPL;0.00000;Total
"7";"19";VOLINVENT;115684.92042;Total
"2";"20";OSUPREC;360.35839;Total
"2";"20";OVOLREC;36458.30856;Total
"2";"20";OSUPPL;0.00000;Total
"2";"20";VOLINVENT;114654.83312;Total
"7";"20";OSUPREC;360.35839;Total
"7";"20";OVOLREC;36458.30856;Total
"7";"20";OSUPPL;0.00000;Total
"7";"20";VOLINVENT;114654.83312;Total
"3";"1";OSUPREC;230.60871;Total
"3";"1";OVOLREC;41219.88007;Total
"3";"1";OSUPPL;201.64000;Total
"3";"1";VOLINVENT;268183.92699;Total
"8";"1";OSUPREC;230.60871;Total
"8";"1";OVOLREC;41219.88007;Total
"8";"1";OSUPPL;201.64000;Total
"8";"1";VOLINVENT;268183.92699;Total
"3";"2";OSUPREC;204.51980;Total
"3";"2";OVOLREC;40846.36373;Total
"3";"2";OSUPPL;201.64000;Total
"3";"2";VOLINVENT;249029.88831;Total
"8";"2";OSUPREC;204.51980;Total
"8";"2";OVOLREC;40846.36373;Total
"8";"2";OSUPPL;201.64000;Total
"8";"2";VOLINVENT;249029.88831;Total
"3";"3";OSUPREC;282.14312;Total
"3";"3";OVOLREC;40500.59206;Total
"3";"3";OSUPPL;201.64000;Total
"3";"3";VOLINVENT;233043.05245;Total
"8";"3";OSUPREC;282.14312;Total
"8";"3";OVOLREC;40500.59206;Total
"8";"3";OSUPPL;201.64000;Total
"8";"3";VOLINVENT;233043.05245;Total
"3";"4";OSUPREC;276.35245;Total
"3";"4";OVOLREC;40147.48943;Total
"3";"4";OSUPPL;201.64000;Total
"3";"4";VOLINVENT;215736.76370;Total
"8";"4";OSUPREC;276.35245;Total
"8";"4";OVOLREC;40147.48943;Total
"8";"4";OSUPPL;201.64000;Total
"8";"4";VOLINVENT;215736.76370;Total
"8";"5";OSUPREC;203.03508;Total
"8";"5";OVOLREC;39612.76595;Total
"8";"5";OSUPPL;201.64000;Total
"8";"5";VOLINVENT;200188.98919;Total
"3";"5";OSUPREC;203.03508;Total
"3";"5";OVOLREC;39612.76595;Total
"3";"5";OSUPPL;201.64000;Total
"3";"5";VOLINVENT;200188.98919;Total
"8";"6";OSUPREC;303.05703;Total
"8";"6";OVOLREC;38999.50269;Total
"8";"6";OSUPPL;0.00000;Total
"8";"6";VOLINVENT;185978.96121;Total
"3";"6";OSUPREC;303.05703;Total
"3";"6";OVOLREC;38999.50269;Total
"3";"6";OSUPPL;0.00000;Total
"3";"6";VOLINVENT;185978.96121;Total
"8";"7";OSUPREC;302.33370;Total
"8";"7";OVOLREC;38490.25387;Total
"8";"7";OSUPPL;100.69370;Total
"8";"7";VOLINVENT;175874.35735;Total
"3";"7";OSUPREC;302.33370;Total
"3";"7";OVOLREC;38490.25387;Total
"3";"7";OSUPPL;100.69370;Total
"3";"7";VOLINVENT;175874.35735;Total
"8";"8";OSUPREC;316.15517;Total
"8";"8";OVOLREC;38277.97280;Total
"8";"8";OSUPPL;100.94630;Total
