Iteration;Period;Output;Value;Type
"9";"1";OVOLREC;0.00000;Total
"9";"1";OSUPPL;0.00000;Total
"9";"1";VOLINVENT;307097.72000;Total
"4";"2";OSUPREC;0.00000;Total
"4";"2";OVOLREC;0.00000;Total
"4";"2";OSUPPL;0.00000;Total
"4";"2";VOLINVENT;289092.92673;Total
"9";"2";OSUPREC;0.00000;Total
"9";"2";OVOLREC;0.00000;Total
"9";"2";OSUPPL;0.00000;Total
"9";"2";VOLINVENT;289092.92673;Total
"4";"3";OSUPREC;0.00000;Total
"4";"3";OVOLREC;0.00000;Total
"4";"3";OSUPPL;0.00000;Total
"4";"3";VOLINVENT;273994.55794;Total
"9";"3";OSUPREC;0.00000;Total
"9";"3";OVOLREC;0.00000;Total
"9";"3";OSUPPL;0.00000;Total
"9";"3";VOLINVENT;273994.55794;Total
"4";"4";OSUPREC;0.00000;Total
"4";"4";OVOLREC;0.00000;Total
"4";"4";OSUPPL;0.00000;Total
"4";"4";VOLINVENT;259080.77219;Total
"9";"4";OSUPREC;0.00000;Total
"9";"4";OVOLREC;0.00000;Total
"9";"4";OSUPPL;0.00000;Total
"9";"4";VOLINVENT;259080.77219;Total
"4";"5";OSUPREC;0.00000;Total
"4";"5";OVOLREC;0.00000;Total
"4";"5";OSUPPL;0.00000;Total
"4";"5";VOLINVENT;249632.14944;Total
"9";"5";OSUPREC;0.00000;Total
"9";"5";OVOLREC;0.00000;Total
"9";"5";OSUPPL;0.00000;Total
"9";"5";VOLINVENT;249632.14944;Total
"4";"6";OSUPREC;0.00000;Total
"4";"6";OVOLREC;0.00000;Total
"4";"6";OSUPPL;0.00000;Total
"4";"6";VOLINVENT;238851.21079;Total
"9";"6";OSUPREC;0.00000;Total
"9";"6";OVOLREC;0.00000;Total
"9";"6";OSUPPL;0.00000;Total
"9";"6";VOLINVENT;238851.21079;Total
"4";"7";OSUPREC;0.00000;Total
"4";"7";OVOLREC;0.00000;Total
"4";"7";OSUPPL;0.00000;Total
"4";"7";VOLINVENT;230828.56392;Total
"9";"7";OSUPREC;0.00000;Total
"9";"7";OVOLREC;0.00000;Total
"9";"7";OSUPPL;0.00000;Total
"9";"7";VOLINVENT;230828.56392;Total
"4";"8";OSUPREC;0.00000;Total
"4";"8";OVOLREC;0.00000;Total
"4";"8";OSUPPL;0.00000;Total
"4";"8";VOLINVENT;223085.95904;Total
"9";"8";OSUPREC;0.00000;Total
"9";"8";OVOLREC;0.00000;Total
"9";"8";OSUPPL;0.00000;Total
"9";"8";VOLINVENT;223085.95904;Total
"4";"9";OSUPREC;0.00000;Total
"4";"9";OVOLREC;0.00000;Total
"4";"9";OSUPPL;0.00000;Total
"4";"9";VOLINVENT;216830.74340;Total
"9";"9";OSUPREC;0.00000;Total
"9";"9";OVOLREC;0.00000;Total
"9";"9";OSUPPL;0.00000;Total
"9";"9";VOLINVENT;216830.74340;Total
"4";"10";OSUPREC;0.00000;Total
"4";"10";OVOLREC;0.00000;Total
"4";"10";OSUPPL;0.00000;Total
"4";"10";VOLINVENT;211449.42031;Total
"9";"10";OSUPREC;0.00000;Total
"9";"10";OVOLREC;0.00000;Total
"9";"10";OSUPPL;0.00000;Total
"9";"10";VOLINVENT;211449.42031;Total
"4";"11";OSUPREC;0.00000;Total
"4";"11";OVOLREC;0.00000;Total
"4";"11";OSUPPL;0.00000;Total
"4";"11";VOLINVENT;205364.54222;Total
"9";"11";OSUPREC;0.00000;Total
"9";"11";OVOLREC;0.00000;Total
"9";"11";OSUPPL;0.00000;Total
"9";"11";VOLINVENT;205364.54222;Total
"4";"12";OSUPREC;0.00000;Total
"4";"12";OVOLREC;0.00000;Total
"4";"12";OSUPPL;0.00000;Total
"4";"12";VOLINVENT;200573.88947;Total
"9";"12";OSUPREC;0.00000;Total
"9";"12";OVOLREC;0.00000;Total
"9";"12";OSUPPL;0.00000;Total
"9";"12";VOLINVENT;200573.88947;Total
"4";"13";OSUPREC;0.00000;Total
"4";"13";OVOLREC;0.00000;Total
"4";"13";OSUPPL;0.00000;Total
"4";"13";VOLINVENT;196606.15282;Total
"9";"13";OSUPREC;0.00000;Total
"9";"13";OVOLREC;0.00000;Total
"9";"13";OSUPPL;0.00000;Total
"9";"13";VOLINVENT;196606.15282;Total
"4";"14";OSUPREC;0.00000;Total
"4";"14";OVOLREC;0.00000;Total
"4";"14";OSUPPL;0.00000;Total
"4";"14";VOLINVENT;192890.66163;Total
"9";"14";OSUPREC;0.00000;Total
"9";"14";OVOLREC;0.00000;Total
"9";"14";OSUPPL;0.00000;Total
"9";"14";VOLINVENT;192890.66163;Total
"4";"15";OSUPREC;0.00000;Total
"4";"15";OVOLREC;0.00000;Total
"4";"15";OSUPPL;0.00000;Total
"4";"15";VOLINVENT;189563.72449;Total
"9";"15";OSUPREC;0.00000;Total
"9";"15";OVOLREC;0.00000;Total
"9";"15";OSUPPL;0.00000;Total
"9";"15";VOLINVENT;189563.72449;Total
"4";"16";OSUPREC;0.00000;Total
"4";"16";OVOLREC;0.00000;Total
"4";"16";OSUPPL;0.00000;Total
"4";"16";VOLINVENT;185872.02643;Total
"9";"16";OSUPREC;0.00000;Total
"9";"16";OVOLREC;0.00000;Total
"9";"16";OSUPPL;0.00000;Total
"9";"16";VOLINVENT;185872.02643;Total
"4";"17";OSUPREC;0.00000;Total
"4";"17";OVOLREC;0.00000;Total
