CONSTRAINT;OUTPUT;PERIOD;PERCENTAGE
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;8;4.983499641162288
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;9;3.3727497819961587
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;10;2.8118951318553123
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;11;0.2318433531919403
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;12;-1.5264762299793528
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;13;-1.526476229979353
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;14;1.2052610268033073
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;15;4.93221773170415
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;16;2.1818982665785054
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;17;0.6409785010519277
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;18;-0.3343272355764307
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;19;-0.33432723557658084
_EVEN(OVOLGFIREC) 2..6 ;OVOLTOTREC;20;-0.3343272355767127
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;1;40.87837399077376
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;2;-0.48213937722465944
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;3;-0.48213937722456185
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;4;-0.4821393772247084
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;5;-0.4821393772243674
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;6;-0.4821393772245471
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;7;2.553398247350668
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;8;4.983499641154392
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;9;3.3727497819920185
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;10;2.811895131861421
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;11;0.231843353186751
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;12;-1.5264762299788333
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;13;-1.526476229978786
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;14;1.2052610268045614
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;15;4.93221773170294
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;16;2.181898266573555
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;17;0.6409785010518706
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;18;-0.3343272355761668
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;19;-0.3343272355764112
_NDY(OVOLGFIREC) 6.._LENGTH ;OVOLTOTREC;20;-0.33432723557656185
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;1;39.82796244369716
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;2;-0.5010525035596909
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;3;-0.5010525035595934
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;4;-0.5010525035597725
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;5;-0.5010525035594966
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;6;-0.5010525035594158
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;7;2.9958638643260485
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;8;4.804550314641045
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;9;3.33779088839684
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;10;2.2990899303221655
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;11;0.8600879931974529
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;12;-0.6787709864374794
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;13;-0.6787709864375503
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;14;1.8176029094404818
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;15;4.2655885339714965
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;16;1.4018187479555755
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;17;0.18805279165369795
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;18;-0.5413787493252527
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;19;-0.06170537046410032
OVOLTOTREC <=1422736.000000   1;OVOLTOTREC;20;-0.061705370464043736
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;1;0.07104041144357169
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;2;-1.4466402809809946
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;3;-1.4466402809808647
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;4;-1.446640280980946
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;5;-1.4466402809806722
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;6;-1.4466402809807226
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;7;1.3576578510102502
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;8;2.651691922697123
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;9;1.286988972681098
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;10;0.9064532092992785
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;11;0.4309805249348313
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;12;1.5122571797696538
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;13;1.5122571797697129
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;14;2.4790041026379144
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;15;3.056592075785876
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;16;1.4135773667516423
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;17;-0.2716206327166769
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;18;-0.9859071780947369
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;19;0.22345449344815918
OVOLTOTREC >=1394563.000000   1;OVOLTOTREC;20;0.22345449344815912
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;1;0.0710404114436208
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;2;-1.4466402809811736
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;3;-1.4466402809811092
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;4;-1.4466402809811576
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;5;-1.4466402809809815
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;6;-1.4466402809809507
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;7;1.3576578510103277
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;8;2.651691922696747
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;9;1.286988972681153
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;10;0.9064532092993843
OVOLGSEPMREC <=1318902.000000   1;OVOLTOTREC;11;0.4309805249348065
